"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant","rt","response","part","view_history","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","question_order","stimulus","salade","tomate","fromage","viande","oignon","poivron","burgerID","salade_nb","tomate_nb","oignon_nb","fromage_nb","viande_nb","poivron_nb","correct","rt_mean","timeout_burger"

"true","false","[]","[]","[]","preload","0","2","0.0-0.0","7gltr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","survey-html-form","1","2330","0.0-1.0","7gltr","2327","{}","consentement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","instructions","2","3040","0.0-2.0","7gltr","710","","instructions","[{""page_index"":0,""viewing_time"":710}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","browser-check","3","4037","0.0-3.0","7gltr","","","","","1440","815","true","firefox","101.0.0","false","Mac OS","true","60.48","true","true","","","","","","","","","","","","","","","","","",""

"","","","","","survey-likert","4","11779","0.0-4.0","7gltr","7736","{""APTT_1"":1,""APTT_2"":2,""APTT_3"":1,""APTT_4"":2,""APTT_5"":2,""APTT_6"":2}","APTT","","","","","","","","","","","","","[0,1,2,3,4,5]","","","","","","","","","","","","","","","","",""

"","","","","","survey-likert","5","22897","0.0-5.0","7gltr","11109","{""ATI_1"":1,""ATI_2"":2,""ATI_3"":3,""ATI_4"":2,""ATI_5"":2,""ATI_6"":2,""ATI_7"":3,""ATI_8"":2,""ATI_9"":1}","APTT","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","","","","","","","","","","","","","","","","",""

"","","","","","instructions","6","24191","0.0-6.0","7gltr","1290","","instructions","[{""page_index"":0,""viewing_time"":1289}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","instructions","7","25891","0.0-7.0","7gltr","1697","","instructions","[{""page_index"":0,""viewing_time"":1696}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","html-button-response","8","34891","0.0-8.0","7gltr","8995","0","burger_apprentissage","","","","","","","","","","","","","","5 ingredients","4","4","0","4","2","0","1","4","4","2","0","4","0","1","8995",""

"","","","","","html-keyboard-response","9","35644","0.0-9.0","7gltr","null","null","feedback","","","","","","","","","","","","","","<img src='assets/correct.png' alt='' width='100px'>","","","","","","","","","","","","","","","",""

"","","","","","instructions","10","36626","0.0-10.0","7gltr","981","","recap","[{""page_index"":0,""viewing_time"":980}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","instructions","11","37526","0.0-11.0","7gltr","901","","instructions","[{""page_index"":0,""viewing_time"":901}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","html-button-response","12","39242","0.0-12.0","7gltr","1710","0","burger_facile","","","","","","","","","","","","","","5 ingredients","0","0","0","0","0","0","1","4","5","2","2","1","0","0","8995","11.243749999999999"

"","","","","","html-keyboard-response","13","39998","0.0-13.0","7gltr","null","null","feedback","","","","","","","","","","","","","","<img src='assets/incorrect.png' alt='' width='100px'>","","","","","","","","","","","","","","","",""

"","","","","","instructions","14","41199","0.0-14.0","7gltr","1200","","recap","[{""page_index"":0,""viewing_time"":1200}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","instructions","15","43269","0.0-15.0","7gltr","2069","","instructions","[{""page_index"":0,""viewing_time"":2069}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","html-button-response","16","44491","0.0-16.0","7gltr","1218","0","burger_difficile","","","","","","","","","","","","","","5 ingredients","0","0","0","0","0","0","1","1","2","5","3","2","1","0","8995","6.74625"

"","","","","","html-keyboard-response","17","45248","0.0-17.0","7gltr","null","null","feedback","","","","","","","","","","","","","","<img src='assets/incorrect.png' alt='' width='100px'>","","","","","","","","","","","","","","","",""

"","","","","","instructions","18","45956","0.0-18.0","7gltr","707","","recap","[{""page_index"":0,""viewing_time"":706}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","instructions","19","47258","0.0-19.0","7gltr","1301","","instructions","[{""page_index"":0,""viewing_time"":1300}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","html-button-response","20","48009","0.0-20.0","7gltr","745","0","burger_facile_assistance","","","","","","","","","","","","","","5 ingredients","3","4","1","1","2","3","1","3","4","2","1","1","3","1","8995","11.243749999999999"

"","","","","","html-keyboard-response","21","48768","0.0-21.0","7gltr","null","null","feedback","","","","","","","","","","","","","","<img src='assets/correct.png' alt='' width='100px'>","","","","","","","","","","","","","","","",""

"","","","","","instructions","22","49400","0.0-22.0","7gltr","629","","recap","[{""page_index"":0,""viewing_time"":629}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","instructions","23","51657","0.0-23.0","7gltr","2258","","instructions","[{""page_index"":0,""viewing_time"":2258}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","html-button-response","24","53760","0.0-24.0","7gltr","2097","0","burger_difficile_assistance","","","","","","","","","","","","","","5 ingredients","0","5","2","1","2","4","1","1","5","2","1","1","4","0","8995","6.74625"

"","","","","","html-keyboard-response","25","54518","0.0-25.0","7gltr","null","null","feedback","","","","","","","","","","","","","","<img src='assets/incorrect.png' alt='' width='100px'>","","","","","","","","","","","","","","","",""

"","","","","","instructions","26","54825","0.0-26.0","7gltr","305","","recap","[{""page_index"":0,""viewing_time"":304}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"","","","","","survey-likert","27","69263","0.0-27.0","7gltr","14433","{""IMOT_1"":1,""IMOT_2"":2,""IMOT_3"":1,""IMOT_4"":2,""RIS_1"":1,""RIS_2"":2,""RIS_3"":3,""RIS_4"":2,""RIS_5"":2,""RIS_6"":1}","APTT","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8,9]","","","","","","","","","","","","","","","","",""

"","","","","","survey-html-form","28","210698","0.0-28.0","7gltr","141432","{}","consentement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

